日期,股票代码,股票名称,开盘价,收盘价,最高价,最低价,成交量(股)
20260522,000001,平安银行,10.7,10.68,10.73,10.65,95413300.0
20260522,000002,万  科Ａ,3.48,3.46,3.5,3.43,86651800.0
20260522,000006,深振业Ａ,10.62,10.88,11.08,10.45,48189400.0
20260522,000007,全新好,11.62,12.46,12.78,11.62,30978000.0
20260522,000008,神州高铁,2.61,2.62,2.62,2.59,28896900.0
20260522,000009,中国宝安,7.78,7.76,7.82,7.69,17025800.0
20260522,000011,深物业A,7.47,7.56,7.62,7.37,3920500.0
20260522,000012,南  玻Ａ,4.0,4.4,4.4,3.86,125772600.0
20260522,000014,沙河股份,11.21,11.37,11.46,11.04,5300900.0
20260522,000017,深中华A,5.61,5.71,5.72,5.56,6396300.0
20260522,000019,深粮控股,6.81,6.73,6.84,6.65,10275300.0
20260522,000020,深华发Ａ,13.0,13.21,13.37,12.67,7684000.0
20260522,000021,深科技,37.22,37.73,37.98,35.9,191239600.0
20260522,000025,特  力Ａ,14.75,14.88,14.96,14.64,3029900.0
20260522,000026,飞亚达,23.5,25.55,25.55,23.5,23917300.0
20260522,000027,深圳能源,7.27,7.31,7.37,7.18,39681300.0
20260522,000028,国药一致,23.9,23.8,23.94,23.7,1750400.0
20260522,000029,深深房Ａ,24.81,25.5,26.75,23.26,21901900.0
20260522,000030,富奥股份,4.71,4.71,4.75,4.64,10543700.0
20260522,000031,大悦城,2.63,2.64,2.69,2.6,34756200.0
20260522,000032,深桑达Ａ,19.25,19.19,19.46,18.5,35502200.0
20260522,000034,神州数码,28.3,29.07,29.25,27.87,49569900.0
20260522,000035,中国天楹,6.05,5.99,6.08,5.97,32314600.0
20260522,000036,华联控股,5.39,5.44,5.47,5.35,25903200.0
20260522,000037,深南电A,9.7,9.89,9.9,9.49,15813200.0
20260522,000039,中集集团,10.32,10.33,10.38,9.76,80677700.0
20260522,000042,中洲控股,10.02,10.03,10.09,9.9,4595200.0
20260522,000045,深纺织Ａ,11.98,12.2,12.3,11.73,10213700.0
20260522,000048,京基智农,13.77,13.61,13.87,13.51,6426600.0
20260522,000049,德赛电池,26.42,27.42,27.8,26.19,11593800.0
20260522,000050,深天马Ａ,7.68,7.95,7.98,7.37,93995200.0
20260522,000055,方大集团,3.57,3.59,3.64,3.48,12143900.0
20260522,000058,深 赛 格,7.59,7.58,7.66,7.46,6069900.0
20260522,000059,华锦股份,4.74,4.71,4.76,4.62,19643900.0
20260522,000060,中金岭南,6.99,7.57,7.57,6.87,178437200.0
20260522,000061,农 产 品,6.53,6.53,6.63,6.42,12450400.0
20260522,000062,深圳华强,33.05,34.63,34.71,33.01,58536100.0
20260522,000063,中兴通讯,35.11,35.64,35.7,34.66,119684300.0
20260522,000065,北方国际,12.31,12.19,12.39,12.01,17860400.0
20260522,000066,中国长城,20.98,20.93,21.25,20.27,282705300.0
20260522,000068,华控赛格,3.16,3.1,3.17,3.05,13836100.0
20260522,000069,华侨城Ａ,1.96,1.95,1.97,1.93,39530600.0
20260522,000070,特发信息,17.99,18.48,18.5,17.55,70755500.0
20260522,000088,盐 田 港,4.5,4.48,4.51,4.47,26019200.0
20260522,000089,深圳机场,6.77,6.7,6.79,6.68,7539100.0
20260522,000090,天健集团,3.28,3.31,3.33,3.26,11244300.0
20260522,000096,广聚能源,8.68,8.63,8.71,8.54,4930100.0
