形态日期,股票代码,股票名称,D0日期,D0开盘价,D0收盘价,D0最高价,D0最低价,D0成交量,D1日期,D1开盘价,D1收盘价,D1最高价,D1最低价,D1成交量,D2日期,D2开盘价,D2收盘价,D2最高价,D2最低价,D2成交量
20260902,600519,贵州茅台,20260831,1297.99,1299.52,1305.0,1286.0,2324800.0,20260901,1295.0,1299.56,1307.99,1286.1,3266400.0,20260902,1302.8,1297.5,1303.0,1291.2,2030800.0
20260902,300308,中际旭创,20260831,830.0,851.9,863.56,830.0,22422800.0,20260901,852.5,859.3,887.0,837.33,28662200.0,20260902,840.01,822.4,848.0,814.06,26669900.0
20260902,002371,北方华创,20260831,683.56,699.79,699.79,672.18,6729000.0,20260901,692.0,667.7,698.0,664.44,7544800.0,20260902,660.0,667.0,671.53,650.2,5903000.0
20260902,300757,罗博特科,20260831,536.52,569.75,570.0,531.12,7560100.0,20260901,569.0,562.5,576.66,559.7,5434300.0,20260902,560.64,582.7,593.9,550.0,7396000.0
20260902,301666,大普微-UW,20260831,470.0,466.36,479.0,451.15,4318500.0,20260901,466.56,438.95,470.0,437.54,3317600.0,20260902,425.24,426.01,430.68,418.6,2298000.0
20260902,001309,德明利,20260831,422.31,436.5,442.32,420.5,13374100.0,20260901,436.65,418.04,439.18,416.88,10413900.0,20260902,408.51,412.93,420.8,408.5,7750500.0
20260902,601869,长飞光纤,20260831,405.0,418.57,420.88,405.0,13522200.0,20260901,412.38,400.03,412.66,395.56,10879700.0,20260902,392.59,407.8,413.68,389.0,12578700.0
20260902,603986,兆易创新,20260831,387.06,406.0,406.61,387.06,31722000.0,20260901,406.0,393.0,406.01,391.54,25655100.0,20260902,388.0,388.86,395.95,387.45,20951300.0
20260902,301377,鼎泰高科,20260831,396.4,419.86,425.0,396.01,4085000.0,20260901,415.67,388.13,419.8,386.0,3951300.0,20260902,383.54,387.9,394.78,380.0,2498100.0
20260902,300502,新易盛,20260831,385.0,401.87,406.03,385.0,31203400.0,20260901,401.78,402.81,415.0,388.0,37585800.0,20260902,393.0,386.7,395.0,378.56,35634300.0
20260902,603444,吉比特,20260831,386.0,383.49,390.86,380.41,1412100.0,20260901,383.99,387.48,391.99,382.52,1710700.0,20260902,385.58,378.57,388.99,378.02,1554300.0
20260902,301308,江波龙,20260831,366.1,381.75,382.2,365.2,8930100.0,20260901,381.0,369.18,381.7,369.1,7875000.0,20260902,361.1,362.3,366.99,360.74,6873200.0
20260902,002916,深南电路,20260831,353.2,369.08,370.37,348.69,8210500.0,20260901,368.0,354.34,368.01,350.38,5885200.0,20260902,348.0,348.39,353.81,345.01,3928300.0
20260902,300750,宁德时代,20260831,366.6,363.55,367.33,357.3,26242400.0,20260901,362.49,358.1,363.56,358.03,19808700.0,20260902,355.98,348.29,356.5,347.55,27806700.0
20260902,301717,超纯应材,20260831,365.88,374.0,378.3,361.22,3670900.0,20260901,374.0,349.93,383.8,347.74,4127100.0,20260902,346.32,341.03,352.15,338.5,2681400.0
20260902,603061,金海通,20260831,325.0,342.18,343.48,322.0,3239900.0,20260901,344.28,332.04,344.88,323.62,3259200.0,20260902,323.61,325.0,333.0,318.65,2832100.0
20260902,301629,矽电股份,20260831,306.84,299.7,310.01,294.11,1456000.0,20260901,303.01,295.02,303.01,290.45,1391700.0,20260902,292.93,303.88,308.68,287.8,1742600.0
20260902,603129,春风动力,20260831,297.99,297.72,298.4,291.66,850300.0,20260901,297.01,303.5,305.66,293.97,1468100.0,20260902,300.5,295.8,302.97,293.0,992300.0
20260902,301205,联特科技,20260831,317.0,308.93,317.3,301.0,8439100.0,20260901,309.0,298.18,309.99,294.99,5577300.0,20260902,290.74,284.7,293.6,282.22,5326900.0
20260902,300620,光库科技,20260831,300.78,319.0,323.89,300.78,11862100.0,20260901,310.01,293.4,313.0,289.0,13537100.0,20260902,288.76,284.0,289.64,280.08,8797200.0
20260902,300604,长川科技,20260831,272.13,279.03,279.4,265.38,13455200.0,20260901,281.85,284.27,291.9,274.19,28088100.0,20260902,277.0,272.6,280.8,265.3,19046900.0
20260902,300857,协创数据,20260831,248.0,263.7,264.35,244.44,22937500.0,20260901,263.0,254.49,264.96,253.69,14624200.0,20260902,247.0,262.05,266.66,246.08,21518700.0
20260902,301200,大族数控,20260831,260.0,280.0,282.56,259.23,3258700.0,20260901,280.0,268.0,280.78,267.0,2510400.0,20260902,262.6,260.6,266.46,258.43,1870600.0
20260902,301626,苏州天脉,20260831,249.0,265.48,265.85,246.3,1774000.0,20260901,265.57,250.7,265.57,249.23,1744100.0,20260902,249.5,253.66,257.2,242.92,1691900.0
20260902,300394,天孚通信,20260831,255.01,263.0,264.59,253.68,28696000.0,20260901,261.05,251.77,261.95,247.2,33052100.0,20260902,247.86,250.0,255.69,237.8,41634500.0
20260902,300489,光智科技,20260831,230.01,239.75,258.6,226.0,15880800.0,20260901,240.0,233.4,242.9,232.37,8562600.0,20260902,228.4,229.35,237.09,218.18,11741800.0
20260902,301345,涛涛车业,20260831,234.56,241.35,244.0,233.0,1059100.0,20260901,244.99,236.5,244.99,234.09,973300.0,20260902,234.95,225.79,236.4,224.5,1177600.0
20260902,300666,江丰电子,20260831,237.0,244.08,245.9,232.51,12183000.0,20260901,243.0,228.82,243.6,228.4,11520500.0,20260902,223.66,225.44,228.3,221.0,7766300.0
20260902,300476,胜宏科技,20260831,232.0,243.14,244.85,230.09,30553800.0,20260901,241.01,232.98,242.11,232.04,23636500.0,20260902,229.0,225.18,231.33,224.04,23048400.0
20260902,301183,东田微,20260831,230.01,229.68,235.0,226.51,3115800.0,20260901,228.0,224.5,230.68,219.99,3077400.0,20260902,220.41,220.88,227.0,217.7,2620000.0
20260902,300033,同花顺,20260831,229.89,229.2,230.45,222.22,13538900.0,20260901,228.0,227.03,233.85,226.01,13409900.0,20260902,225.0,217.16,225.2,217.08,13974000.0
