形态日期,股票代码,股票名称,D0(0224)成交量(股),D1(0225)开盘价,D1(0225)收盘价,D1(0225)最高价,D1(0225)成交量(股),D2(0226)最高价,D2(0226)最低价
20260226,000564,供销大集,136320800.0,2.29,2.33,2.34,215296800.0,2.33,2.29
20260226,000686,东北证券,13781500.0,8.94,9.03,9.08,23752800.0,9.04,8.95
20260226,000750,国海证券,36349500.0,4.16,4.21,4.25,74771700.0,4.22,4.17
20260226,000882,华联股份,29227700.0,1.95,1.97,1.99,76451100.0,1.98,1.94
20260226,000925,众合科技,13953900.0,8.42,8.54,8.69,22736100.0,8.54,8.43
20260226,000926,福星股份,21490300.0,2.28,2.35,2.38,51380800.0,2.36,2.27
20260226,000980,众泰汽车,96091500.0,3.09,3.22,3.27,173109200.0,3.23,3.1
20260226,001213,中铁特货,11942200.0,4.17,4.2,4.22,22484400.0,4.2,4.16
20260226,002005,德豪润达,12461300.0,3.04,3.11,3.13,32733800.0,3.12,3.05
20260226,002390,信邦制药,22374100.0,3.37,3.41,3.43,34354300.0,3.42,3.37
20260226,002607,中公教育,114206700.0,2.77,2.85,2.88,203454800.0,2.84,2.77
20260226,002936,郑州银行,48103400.0,1.91,1.93,1.95,168989400.0,1.94,1.92
20260226,300120,经纬辉开,8520400.0,8.7,8.77,8.81,14890700.0,8.78,8.69
20260226,600170,上海建工,181563100.0,2.92,2.98,3.02,324047900.0,2.99,2.93
20260226,600221,海航控股,274565800.0,1.67,1.71,1.72,500582100.0,1.71,1.68
20260226,600300,维维股份,31524400.0,3.66,3.73,3.79,50938100.0,3.74,3.66
20260226,600368,五洲交通,9148300.0,3.99,4.01,4.03,14404000.0,4.02,3.98
20260226,600369,西南证券,36262400.0,4.51,4.58,4.66,68659300.0,4.59,4.52
20260226,600398,海澜之家,35780700.0,6.16,6.28,6.38,61675800.0,6.29,6.17
20260226,600518,康美药业,140884900.0,1.91,1.93,1.94,222670300.0,1.94,1.91
20260226,600664,哈药股份,15373700.0,3.49,3.52,3.54,23701000.0,3.53,3.49
20260226,600675,中华企业,38633700.0,2.87,2.99,3.03,105828200.0,3.0,2.87
20260226,600712,南宁百货,7089000.0,6.51,6.59,6.81,17077400.0,6.6,6.51
20260226,600853,龙建股份,16614000.0,4.27,4.31,4.34,30458200.0,4.32,4.26
20260226,600905,三峡能源,69931500.0,4.1,4.11,4.12,142217400.0,4.12,4.1
20260226,600918,中泰证券,19231000.0,6.36,6.41,6.44,29235400.0,6.41,6.35
20260226,601238,广汽集团,21878400.0,7.97,8.09,8.11,34760600.0,8.09,7.96
20260226,601333,广深铁路,30829300.0,3.08,3.12,3.15,70997000.0,3.13,3.08
20260226,601375,中原证券,28946000.0,4.35,4.44,4.47,71825700.0,4.45,4.36
20260226,601860,紫金银行,38627100.0,2.77,2.79,2.82,58971500.0,2.8,2.77
20260226,601878,浙商证券,18634500.0,10.58,10.66,10.71,29845100.0,10.67,10.59
20260226,601990,南京证券,11316400.0,7.85,7.91,7.95,20365200.0,7.92,7.86
